gene
SAMD11
HES4
ISG15
LINC01342
TTLL10
C1QTNF12
TMEM240
MIB2
MMP23B
CDK11A
CFAP74
GABRD
PLCH2
PRDM16
CCDC27
C1orf174
KCNAB2
CHD5
GPR153
HES2
PER3
ERRFI1
H6PD
RBP7
KIF1B
PGD
CASZ1
TARDBP
FBXO2
FBXO6
C1orf167
MTHFR
KIAA2013
PLOD1
DHRS3
HNRNPCL1
LRRC38
PRDM2
KAZN
FHAD1
EFHD2
CTRC
DNAJC16
FBLIM1
SPEN
CLCNKA
SPATA21
PADI4
KLHDC7A
UBR4
CAMK2N1
CDA
PINK1-AS
SH2D5
EIF4G3
ALPL
C1QC
TEX46
LINC01355
ID3
MYOM3
RUNX3
PAQR7
STMN1
PAFAH2
EXTL1
UBXN11
ZNF683
LIN28A
ARID1A
AHDC1
FGR
IFI6
FAM76A
THEMIS2
EYA3
PHACTR4
TMEM200B
ZCCHC17
SPOCD1
CCDC28B
DCDC2B
FAM167B
MARCKSL1
ZBTB8B
ZBTB8A
RBBP4
SYNC
S100PBP
HPCA
PHC2
CSMD2
TFAP2E
CLSPN
AGO4
AGO3
ZC3H12A
SNIP1
MANEAL
C1orf122
INPP5B
FHL3
MACF1
HEYL
TMCO2
SMAP2
KCNQ4
CTPS1
HIVEP3
FOXJ3
CCDC30
SLC2A1
SLC2A1-DT
SZT2
KDM4A-AS1
ST3GAL3-AS1
ARMH1
RPS8
ZSWIM5
MAST2
MKNK1
LINC00853
PDZK1IP1
TAL1
LINC01389
FOXD2-AS1
FOXD2
DMRTA2
CDKN2C
RNF11
TTC39A-AS1
EPS15
TUT4
PODN
SLC1A7
SSBP3
SSBP3-AS1
TTC22
CIMAP2
DHCR24
USP24
TACSTD2
JUN
NFIA
TM2D1
PDE4B
MIER1
SLC35D1
GADD45A
LRRC7
ERICH3
MSH4
AK5
USP33
MIGA1
NEXN-AS1
NEXN
DNAJB4
IFI44L
LINC01361
TTLL7
PRKACB
SSX2IP
MCOLN2
BCL10-AS1
ZNHIT6
ODF2L
SH3GLB1
LMO4
PKN2
GBP3
GBP1
GBP2
GBP4
GBP5
BRDT
EPHX4
BTBD8
GLMN
RPAP2
GFI1
CCDC18
FNBP1L
GCLM
CNN3-DT
TLCD4
PTBP2
DPYD
DPYD-AS1
DPYD-AS2
FRRS1
SLC35A3
TRMT13
LRRC39
DBT
CDC14A
EXTL2
SLC30A7
LINC01307
RNPC3
VAV3
VAV3-AS1
HENMT1
GPSM2
WDR47
TAF13
MYBPHL
CYB561D1
KCNC4-DT
LRIF1
DENND2D
CHI3L2
C1orf162
KCND3
RHOC
LINC01356
SLC16A1-AS1
LRIG2-DT
PHTF1
PTPN22
AP4B1-AS1
BCL2L15
HIPK1-AS1
HIPK1
TRIM33
DENND2C
TSPAN2
TENT5C
SRGAP2-AS1
PDE4DIP
